Ti	f(tot)	b	0.123232E+3 0.526750E+2 0.191411E+2 0.637865E+1 0.242636E+1 0.724838E+0 0.206836E+0 0.314307E-1
Ti	f(core)	a	0.319978E+0 0.805705E+0 0.045901E-1 0.480323E+0 0.192946E+0 0.126872E+0 0.610224E-1 0.229135E-1
Ti	f(core)	b	0.122622E+2 0.544094E+1 0.379029E+1 0.237210E+1 0.901993E+0 0.357919E+0 0.122912E+0 0.208643E-1
Ti	f(4s)	a	0.195505E+0 0.112861E+1 0.101701E+1 0.348950E+0 0.124000E+0 0.413546E-1 0.118184E-1 0.279333E-2
Ti	f(4s)	b	0.183583E+3 0.849596E+2 0.376364E+2 0.141773E+2 0.446391E+1 0.131119E+1 0.310493E+0 0.422027E-1
Ti	f(d1)	a	0.282451E-1 0.220391E+0 0.290674E+0 0.152204E+0 0.501597E-1 0.193867E-1 0.711766E-2 0.208033E-2
Ti	f(d1)	b	0.852290E+2 0.354711E+2 0.155539E+2 0.646258E+1 0.233446E+1 0.744410E+0 0.209288E+0 0.323974E-1
Ti	f(d2)	a	0.182100E-1 0.149334E+0 0.225398E+0 0.150106E+0 0.595434E-1 0.191746E-1 0.651691E-2 0.195641E-2
Ti	f(d2)	b	0.695369E+2 0.271561E+2 0.116759E+2 0.495427E+1 0.195760E+1 0.674338E+0 0.193919E+0 0.306103E-1
Ti	f(d3)	a	0.971425E-2 0.533400E-1 0.493007E-1 0.325573E-1 0.391731E-1 0.177038E-1 0.648855E-2 0.195958E-2
Ti	f(d3)	b	0.441418E+2 0.152419E+2 0.647918E+1 0.413611E+1 0.189073E+1 0.666869E+0 0.193975E+0 0.306611E-1
V	f(tot)	a	0.144875E+1 0.254232E+1 0.154253E+1 0.143566E+1 0.837068E+0 0.306428E+0 0.141628E+0 0.434761E-1
V	f(tot)	b	0.111553E+3 0.468961E+2 0.169201E+2 0.577823E+1 0.222556E+1 0.684946E+0 0.198045E+0 0.305055E-1
V	f(core)	a	0.333363E+0 0.155941E+0 0.535070E+0 0.201561E+0 0.310302E+0 0.162739E+0 0.822684E-1 0.281039E-1
V	f(core)	b	0.990462E+1 0.597871E+1 0.401139E+1 0.305965E+1 0.148703E+1 0.491352E+0 0.158214E+0 0.255878E-1
V	f(4s)	a	0.236936E+0 0.105367E+1 0.885600E+0 0.306959E+0 0.110342E+0 0.374266E-1 0.109444E-1 0.267123E-2
V	f(4s)	b	0.158694E+3 0.748220E+2 0.332198E+2 0.125884E+2 0.403051E+1 0.120513E+1 0.292162E+0 0.405736E-1
V	f(d1)	a	0.114604E-1 0.167359E+0 0.246482E+0 0.136223E+0 0.449914E-1 0.172842E-1 0.660633E-2 0.198995E-2
V	f(d1)	b	0.104063E+3 0.323137E+2 0.137570E+2 0.573769E+1 0.212080E+1 0.686527E+0 0.197615E+0 0.311026E-1
V	f(d2)	a	0.647835E-1 0.194968E+0 0.120717E+0 0.617210E-1 0.510438E-1 0.164547E-1 0.565966E-2 0.177227E-2
V	f(d2)	b	0.354633E+2 0.133420E+2 0.575484E+1 0.366748E+1 0.168314E+1 0.583953E+0 0.172256E+0 0.279002E-1
V	f(d3)	a	0.264543E-1 0.481919E-1 0.336858E-1 0.380048E-1 0.110506E-1 0.777303E-2 0.558456E-2 0.178739E-2
V	f(d3)	b	0.217481E+2 0.773711E+1 0.427787E+1 0.189702E+1 0.761392E+0 0.506365E+0 0.172769E+0 0.281413E-1
Cr	f(tot)	a	0.100903E+1 0.161489E+1 0.134350E+1 0.136199E+1 0.778187E+0 0.291185E+0 0.137399E+0 0.433735E-1
Cr	f(tot)	b	0.102591E+3 0.397419E+2 0.138968E+2 0.506101E+1 0.198265E+1 0.631603E+0 0.186594E+0 0.292573E-1
Cr	f(core)	a	0.419809E+0 0.147669E-1 0.323137E-1 0.692753E+0 0.267877E+0 0.135714E+0 0.583931E-1 0.189869E-1
Cr	f(core)	b	0.818398E+1 0.772379E+1 0.375840E+1 0.319082E+1 0.113692E+1 0.354786E+0 0.108511E+0 0.169051E-1
Cr	f(4s)	a	0.192575E+0 0.104554E+1 0.939211E+0 0.348397E+0 0.118779E+0 0.403506E-1 0.115421E-1 0.275695E-2
Cr	f(4s)	b	0.175697E+3 0.818423E+2 0.360371E+2 0.136480E+2 0.434513E+1 0.127853E+1 0.304884E+0 0.417153E-1
Cr	f(d1)	a	0.238052E-1 0.190065E+0 0.251189E+0 0.155746E+0 0.569724E-1 0.196639E-1 0.729560E-2 0.211889E-2
